id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
2154,br:supremo.tribunal.federal:acordao;ss.ed,SS-ED,pt-BR,"Embargos de Declaração na Suspensão de Segurança",#acordao,SS-ED – Embargos de Declaração na Suspensão de Segurança,Jurisprudência::Acórdão,label_4422
2155,br:supremo.tribunal.federal:acordao;ss.qo,SS-QO,pt-BR,"Questão de Ordem na Suspensão de Segurança",#acordao,SS-QO – Questão de Ordem na Suspensão de Segurança,Jurisprudência::Acórdão,label_4424
2156,br:supremo.tribunal.federal:acordao;sta.agr,STA-AgR,pt-BR,"Agravo Regimental na Suspensão de Tutela Antecipada",#acordao,STA-AgR – Agravo Regimental na Suspensão de Tutela Antecipada,Jurisprudência::Acórdão,label_4426
2157,br:supremo.tribunal.federal:acordao;sta.agr.agr.ed,STA-AgR-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental no Agravo Regimental na Suspensão de Tutela Antecipada",#acordao,STA-AgR-AgR-ED – Embargos de Declaração no Agravo Regimental no Agravo Regimental na Suspensão de Tutela Antecipada,Jurisprudência::Acórdão,label_4428
2158,br:supremo.tribunal.federal:acordao;sta.agr.ed,STA-AgR-ED,pt-BR,"Embargos de Declaração no Agravo Regimental na Suspensão de Tutela Antecipada",#acordao,STA-AgR-ED – Embargos de Declaração no Agravo Regimental na Suspensão de Tutela Antecipada,Jurisprudência::Acórdão,label_4430
2159,br:supremo.tribunal.federal:acordao;sta.ed,STA-ED,pt-BR,"Embargos de Declaração na Suspensão de Tutela Antecipada",#acordao,STA-ED – Embargos de Declaração na Suspensão de Tutela Antecipada,Jurisprudência::Acórdão,label_4432
2160,decisao.normativa,"Decisão Normativa",pt-BR,,,,Legislação::Decisão Normativa,label_4433
2161,resolucao.administrativa,"Resolução Administrativa",pt-BR,,,,Legislação::Resolução Administrativa,label_4434
2162,ato,Ato,pt-BR,,,,Legislação::Ato,label_4435
2163,ordem.servico,"Ordem de Serviço",pt-BR,,,,Legislação::Ordem de Serviço,label_4436
2164,orientacao.normativa,"Orientação Normativa",pt-BR,,,,Legislação::Orientação Normativa,label_4437
2165,portaria.normativa,"Portaria Normativa",pt-BR,,,,Legislação::Portaria Normativa,label_4438
2166,br:camara.deputados:projeto.decreto.legislativo;pdc,PDC,pt-BR,"Projeto de Decreto Legislativo da Câmara",#projeto.decreto.legislativo,PDC – Projeto de Decreto Legislativo da Câmara,Proposições Legislativas::Projeto&#160;de&#160;Decreto&#160;Legislativo,label_4461
2167,br:camara.deputados:projeto.decreto.legislativo;pds,PDS,pt-BR,"Projeto de Decreto Legislativo do Senado",#projeto.decreto.legislativo,PDS – Projeto de Decreto Legislativo do Senado,Proposições Legislativas::Projeto&#160;de&#160;Decreto&#160;Legislativo,label_4463
